Pass  name ,Number  of  times ,Average  reducing  code  amount ,Average  execution  time  (milliseconds) ,Name  group  of  passes
flowSensitiveInlineVariables ,3 ,27 ,19 ,
optimizeCalls_and_removeUnusedVars ,18 ,233 ,2 ,com.google.javascript.jscomp.PhaseOptimizer$Loop@3a86b518
smartNamePass ,6 ,56 ,10 ,
renameProperties ,15 ,148 ,1 ,
renameVars ,21 ,737 ,1 ,
collapseAnonymousFunctions ,4 ,5 ,0 ,
removeUnusedClassProperties ,3 ,81 ,0 ,com.google.javascript.jscomp.PhaseOptimizer$Loop@43ee2284
peepholeOptimizations ,21 ,47 ,2 ,com.google.javascript.jscomp.PhaseOptimizer$Loop@3a86b518
coalesceVariableNames ,3 ,134 ,13 ,
inlineFunctions ,2 ,69 ,1 ,com.google.javascript.jscomp.PhaseOptimizer$Loop@410c91cb
removeUnusedPrototypeProperties ,11 ,65 ,1 ,com.google.javascript.jscomp.PhaseOptimizer$Loop@21dd8cee
inlineVariables ,36 ,56 ,0 ,com.google.javascript.jscomp.PhaseOptimizer$Loop@3a86b518
collapseVariableDeclarations ,19 ,34 ,0 ,
deadAssignmentsElimination ,1 ,6 ,0 ,com.google.javascript.jscomp.PhaseOptimizer$Loop@3a86b518
denormalize ,30 ,4 ,0 ,
removeUnreachableCode ,14 ,108 ,0 ,com.google.javascript.jscomp.PhaseOptimizer$Loop@3a86b518
removeUnusedVars ,1 ,34 ,0 ,com.google.javascript.jscomp.PhaseOptimizer$Loop@9769792
latePeepholeOptimizations ,20 ,523 ,1 ,
minimizeExitPoints ,2 ,2 ,0 ,com.google.javascript.jscomp.PhaseOptimizer$Loop@1c668bff
renameLabels ,1 ,55 ,2 ,
exploitAssign ,3 ,18 ,0 ,
