FileName,PassName,Time,SizeBefore,SizeAfter
3d-cube,pass: beforeStandardChecks,0,6076,6076
3d-cube,pass: checkJsDoc,11,6076,6076
3d-cube,pass: closureRewriteModule,5,6076,6076
3d-cube,pass: declaredGlobalExternsOnWindow,2,6076,6076
3d-cube,pass: checkVariableReferences,32,6076,6076
3d-cube,pass: closureGoogScopeAliases,12,6076,6076
3d-cube,pass: closureRewriteClass,8,6076,6076
3d-cube,pass: checkSideEffects,4,6076,6076
3d-cube,pass: closurePrimitives,4,6076,6076
3d-cube,pass: suspiciousCode,7,6076,6076
3d-cube,pass: checkVars,9,6076,6076
3d-cube,pass: inferConsts,8,6076,6076
3d-cube,pass: checkRegExp,2,6076,6076
3d-cube,pass: Es6StaticInheritance,6,6076,6076
3d-cube,pass: beforeTypeChecking,0,6076,6076
3d-cube,pass: checkControlFlow,34,6076,6076
3d-cube,pass: closureReplaceGetCssName,47,6076,6076
3d-cube,pass: processDefines,34,6076,6076
3d-cube,pass: afterStandardChecks,0,6076,6076
3d-cube,pass: gatherExternProperties,3,6536,6536
3d-cube,pass: garbageCollectChecks,1,6536,6536
3d-cube,pass: beforeStandardOptimizations,0,6536,6536
3d-cube,pass: replaceIdGenerators,8,6536,6536
3d-cube,pass: optimizeArgumentsArray,6,6536,6536
3d-cube,pass: closureCodeRemoval,25,6536,6536
3d-cube,pass: collapseProperties,5,6536,6536
3d-cube,pass: inferConsts,1,6536,6536
3d-cube,pass: markPureFunctions,50,6536,6536
3d-cube,pass: checkConsts,1,6536,6536
3d-cube,pass: checkConstParams,4,6536,6536
3d-cube,com.google.javascript.jscomp.PhaseOptimizer$Loop@520d4a4d,145,6536,6218
3d-cube,pass: smartNamePass,77,6218,6152
3d-cube,pass: closureOptimizePrimitives,5,6152,6152
3d-cube,com.google.javascript.jscomp.PhaseOptimizer$Loop@6fb56bdd,4,6152,6152
3d-cube,pass: devirtualizePrototypeMethods,11,6152,6152
3d-cube,pass: beforeMainOptimizations,0,6152,6152
3d-cube,com.google.javascript.jscomp.PhaseOptimizer$Loop@7d7ff5be,215,6152,7474
3d-cube,pass: beforeModuleMotion,0,7474,7474
3d-cube,com.google.javascript.jscomp.PhaseOptimizer$Loop@6bf21330,1,7474,7474
3d-cube,pass: afterModuleMotion,0,7474,7474
3d-cube,pass: flowSensitiveInlineVariables,44,7474,7436
3d-cube,com.google.javascript.jscomp.PhaseOptimizer$Loop@3c38ec2e,1,7436,7436
3d-cube,pass: smartNamePass,9,7436,7436
3d-cube,pass: collapseAnonymousFunctions,2,7436,7436
3d-cube,pass: extractPrototypeMemberDeclarations,5,7436,7436
3d-cube,pass: renameProperties,20,7436,7094
3d-cube,pass: gatherRawExports,2,7094,7094
3d-cube,pass: convertToDottedProperties,1,7094,7094
3d-cube,pass: markUnnormalized,1,7094,7094
3d-cube,pass: coalesceVariableNames,41,7094,6939
3d-cube,com.google.javascript.jscomp.PhaseOptimizer$Loop@76f150ac,5,6939,6932
3d-cube,pass: exploitAssign,2,6932,6881
3d-cube,pass: collapseVariableDeclarations,10,6881,6765
3d-cube,pass: denormalize,1,6765,6747
3d-cube,pass: renameVars,13,6747,3578
3d-cube,pass: renameLabels,2,3578,3578
3d-cube,pass: latePeepholeOptimizations,15,3578,3372
3d-cube,pass: stripSideEffectProtection,3,3372,3372
3d-cube,pass: sanityCheckAst,14,3372,3372
3d-cube,pass: sanityCheckVars,1,3372,3372
3d-morph,pass: beforeStandardChecks,0,503,503
3d-morph,pass: checkJsDoc,0,503,503
3d-morph,pass: closureRewriteModule,0,503,503
3d-morph,pass: declaredGlobalExternsOnWindow,0,503,503
3d-morph,pass: checkVariableReferences,0,503,503
3d-morph,pass: closureGoogScopeAliases,0,503,503
3d-morph,pass: closureRewriteClass,0,503,503
3d-morph,pass: checkSideEffects,0,503,503
3d-morph,pass: closurePrimitives,0,503,503
3d-morph,pass: suspiciousCode,0,503,503
3d-morph,pass: checkVars,1,503,503
3d-morph,pass: inferConsts,0,503,503
3d-morph,pass: checkRegExp,0,503,503
3d-morph,pass: Es6StaticInheritance,0,503,503
3d-morph,pass: beforeTypeChecking,0,503,503
3d-morph,pass: checkControlFlow,0,503,503
3d-morph,pass: closureReplaceGetCssName,1,503,503
3d-morph,pass: processDefines,0,503,503
3d-morph,pass: afterStandardChecks,0,503,503
3d-morph,pass: gatherExternProperties,0,520,520
3d-morph,pass: garbageCollectChecks,0,520,520
3d-morph,pass: beforeStandardOptimizations,0,520,520
3d-morph,pass: replaceIdGenerators,0,520,520
3d-morph,pass: optimizeArgumentsArray,0,520,520
3d-morph,pass: closureCodeRemoval,0,520,520
3d-morph,pass: collapseProperties,0,520,520
3d-morph,pass: inferConsts,0,520,520
3d-morph,pass: markPureFunctions,0,520,520
3d-morph,pass: checkConsts,0,520,520
3d-morph,pass: checkConstParams,0,520,520
3d-morph,com.google.javascript.jscomp.PhaseOptimizer$Loop@520752e6,4,520,463
3d-morph,pass: smartNamePass,1,463,463
3d-morph,pass: closureOptimizePrimitives,0,463,463
3d-morph,com.google.javascript.jscomp.PhaseOptimizer$Loop@31c4a016,0,463,463
3d-morph,pass: devirtualizePrototypeMethods,0,463,463
3d-morph,pass: beforeMainOptimizations,0,463,463
3d-morph,com.google.javascript.jscomp.PhaseOptimizer$Loop@1c3db042,8,463,604
3d-morph,pass: beforeModuleMotion,0,604,604
3d-morph,com.google.javascript.jscomp.PhaseOptimizer$Loop@57f18af1,1,604,604
3d-morph,pass: afterModuleMotion,0,604,604
3d-morph,pass: flowSensitiveInlineVariables,1,604,604
3d-morph,com.google.javascript.jscomp.PhaseOptimizer$Loop@35dc8731,0,604,604
3d-morph,pass: smartNamePass,0,604,604
3d-morph,pass: collapseAnonymousFunctions,0,604,604
3d-morph,pass: extractPrototypeMemberDeclarations,0,604,604
3d-morph,pass: renameProperties,1,604,598
3d-morph,pass: gatherRawExports,0,598,598
3d-morph,pass: convertToDottedProperties,0,598,598
3d-morph,pass: markUnnormalized,0,598,598
3d-morph,pass: coalesceVariableNames,0,598,598
3d-morph,com.google.javascript.jscomp.PhaseOptimizer$Loop@586b6eee,0,598,598
3d-morph,pass: exploitAssign,1,598,596
3d-morph,pass: collapseVariableDeclarations,0,596,576
3d-morph,pass: denormalize,0,576,568
3d-morph,pass: renameVars,0,568,369
3d-morph,pass: renameLabels,0,369,369
3d-morph,pass: latePeepholeOptimizations,0,369,359
3d-morph,pass: stripSideEffectProtection,0,359,359
3d-morph,pass: sanityCheckAst,0,359,359
3d-morph,pass: sanityCheckVars,0,359,359
access-binary-trees,pass: beforeStandardChecks,0,945,945
access-binary-trees,pass: checkJsDoc,0,945,945
access-binary-trees,pass: closureRewriteModule,1,945,945
access-binary-trees,pass: declaredGlobalExternsOnWindow,1,945,945
access-binary-trees,pass: checkVariableReferences,1,945,945
access-binary-trees,pass: closureGoogScopeAliases,3,945,945
access-binary-trees,pass: closureRewriteClass,0,945,945
access-binary-trees,pass: checkSideEffects,0,945,945
access-binary-trees,pass: closurePrimitives,1,945,945
access-binary-trees,pass: suspiciousCode,1,945,945
access-binary-trees,pass: checkVars,36,945,945
access-binary-trees,pass: inferConsts,1,945,945
access-binary-trees,pass: checkRegExp,0,945,945
access-binary-trees,pass: Es6StaticInheritance,0,945,945
access-binary-trees,pass: beforeTypeChecking,0,945,945
access-binary-trees,pass: checkControlFlow,1,945,945
access-binary-trees,pass: closureReplaceGetCssName,1,945,945
access-binary-trees,pass: processDefines,0,945,945
access-binary-trees,pass: afterStandardChecks,0,945,945
access-binary-trees,pass: gatherExternProperties,0,975,975
access-binary-trees,pass: garbageCollectChecks,0,975,975
access-binary-trees,pass: beforeStandardOptimizations,0,975,975
access-binary-trees,pass: replaceIdGenerators,0,975,975
access-binary-trees,pass: optimizeArgumentsArray,2,975,975
access-binary-trees,pass: closureCodeRemoval,1,975,975
access-binary-trees,pass: collapseProperties,1,975,975
access-binary-trees,pass: inferConsts,0,975,975
access-binary-trees,pass: markPureFunctions,1,975,975
access-binary-trees,pass: checkConsts,0,975,975
access-binary-trees,pass: checkConstParams,0,975,975
access-binary-trees,com.google.javascript.jscomp.PhaseOptimizer$Loop@571b70f,13,975,863
access-binary-trees,pass: smartNamePass,7,863,713
access-binary-trees,pass: closureOptimizePrimitives,0,713,713
access-binary-trees,com.google.javascript.jscomp.PhaseOptimizer$Loop@7106ee88,0,713,713
access-binary-trees,pass: devirtualizePrototypeMethods,1,713,1010
access-binary-trees,pass: beforeMainOptimizations,0,1010,1010
access-binary-trees,com.google.javascript.jscomp.PhaseOptimizer$Loop@2291bcb5,5,1010,1010
access-binary-trees,pass: beforeModuleMotion,1,1010,1010
access-binary-trees,com.google.javascript.jscomp.PhaseOptimizer$Loop@6aa49ee2,0,1010,1010
access-binary-trees,pass: afterModuleMotion,0,1010,1010
access-binary-trees,pass: flowSensitiveInlineVariables,1,1010,1010
access-binary-trees,com.google.javascript.jscomp.PhaseOptimizer$Loop@533921aa,0,1010,1010
access-binary-trees,pass: smartNamePass,1,1010,1010
access-binary-trees,pass: collapseAnonymousFunctions,0,1010,1005
access-binary-trees,pass: extractPrototypeMemberDeclarations,0,1005,1005
access-binary-trees,pass: renameProperties,0,1005,977
access-binary-trees,pass: gatherRawExports,0,977,977
access-binary-trees,pass: convertToDottedProperties,0,977,977
access-binary-trees,pass: markUnnormalized,0,977,977
access-binary-trees,pass: coalesceVariableNames,2,977,977
access-binary-trees,com.google.javascript.jscomp.PhaseOptimizer$Loop@24bd63ba,1,977,977
access-binary-trees,pass: exploitAssign,0,977,977
access-binary-trees,pass: collapseVariableDeclarations,0,977,961
access-binary-trees,pass: denormalize,0,961,956
access-binary-trees,pass: renameVars,1,956,351
access-binary-trees,pass: renameLabels,1,351,351
access-binary-trees,pass: latePeepholeOptimizations,1,351,348
access-binary-trees,pass: stripSideEffectProtection,0,348,348
access-binary-trees,pass: sanityCheckAst,1,348,348
access-binary-trees,pass: sanityCheckVars,0,348,348
access-fannkuch,pass: beforeStandardChecks,0,903,903
access-fannkuch,pass: checkJsDoc,1,903,903
access-fannkuch,pass: closureRewriteModule,1,903,903
access-fannkuch,pass: declaredGlobalExternsOnWindow,0,903,903
access-fannkuch,pass: checkVariableReferences,1,903,903
access-fannkuch,pass: closureGoogScopeAliases,0,903,903
access-fannkuch,pass: closureRewriteClass,0,903,903
access-fannkuch,pass: checkSideEffects,8,903,903
access-fannkuch,pass: closurePrimitives,0,903,903
access-fannkuch,pass: suspiciousCode,0,903,903
access-fannkuch,pass: checkVars,0,903,903
access-fannkuch,pass: inferConsts,0,903,903
access-fannkuch,pass: checkRegExp,0,903,903
access-fannkuch,pass: Es6StaticInheritance,0,903,903
access-fannkuch,pass: beforeTypeChecking,0,903,903
access-fannkuch,pass: checkControlFlow,9,903,903
access-fannkuch,pass: closureReplaceGetCssName,2,903,903
access-fannkuch,pass: processDefines,0,903,903
access-fannkuch,pass: afterStandardChecks,0,903,903
access-fannkuch,pass: gatherExternProperties,0,924,924
access-fannkuch,pass: garbageCollectChecks,0,924,924
access-fannkuch,pass: beforeStandardOptimizations,0,924,924
access-fannkuch,pass: replaceIdGenerators,0,924,924
access-fannkuch,pass: optimizeArgumentsArray,0,924,924
access-fannkuch,pass: closureCodeRemoval,1,924,924
access-fannkuch,pass: collapseProperties,1,924,924
access-fannkuch,pass: inferConsts,0,924,924
access-fannkuch,pass: markPureFunctions,2,924,924
access-fannkuch,pass: checkConsts,0,924,924
access-fannkuch,pass: checkConstParams,0,924,924
access-fannkuch,com.google.javascript.jscomp.PhaseOptimizer$Loop@3cd987e2,10,924,863
access-fannkuch,pass: smartNamePass,1,863,863
access-fannkuch,pass: closureOptimizePrimitives,1,863,863
access-fannkuch,com.google.javascript.jscomp.PhaseOptimizer$Loop@153fcc8a,0,863,863
access-fannkuch,pass: devirtualizePrototypeMethods,2,863,863
access-fannkuch,pass: beforeMainOptimizations,0,863,863
access-fannkuch,com.google.javascript.jscomp.PhaseOptimizer$Loop@74814452,23,863,1750
access-fannkuch,pass: beforeModuleMotion,0,1750,1750
access-fannkuch,com.google.javascript.jscomp.PhaseOptimizer$Loop@664c5f14,0,1750,1750
access-fannkuch,pass: afterModuleMotion,0,1750,1750
access-fannkuch,pass: flowSensitiveInlineVariables,1,1750,1750
access-fannkuch,com.google.javascript.jscomp.PhaseOptimizer$Loop@5a95ad23,0,1750,1750
access-fannkuch,pass: smartNamePass,1,1750,1750
access-fannkuch,pass: collapseAnonymousFunctions,0,1750,1750
access-fannkuch,pass: extractPrototypeMemberDeclarations,0,1750,1750
access-fannkuch,pass: renameProperties,0,1750,1750
access-fannkuch,pass: gatherRawExports,0,1750,1750
access-fannkuch,pass: convertToDottedProperties,0,1750,1750
access-fannkuch,pass: markUnnormalized,0,1750,1750
access-fannkuch,pass: coalesceVariableNames,0,1750,1750
access-fannkuch,com.google.javascript.jscomp.PhaseOptimizer$Loop@3bcca92b,0,1750,1750
access-fannkuch,pass: exploitAssign,1,1750,1750
access-fannkuch,pass: collapseVariableDeclarations,0,1750,1722
access-fannkuch,pass: denormalize,0,1722,1714
access-fannkuch,pass: renameVars,0,1714,571
access-fannkuch,pass: renameLabels,3,571,516
access-fannkuch,pass: latePeepholeOptimizations,1,516,508
access-fannkuch,pass: stripSideEffectProtection,0,508,508
access-fannkuch,pass: sanityCheckAst,0,508,508
access-fannkuch,pass: sanityCheckVars,0,508,508
access-nbody,pass: beforeStandardChecks,0,2880,2880
access-nbody,pass: checkJsDoc,0,2880,2880
access-nbody,pass: closureRewriteModule,0,2880,2880
access-nbody,pass: declaredGlobalExternsOnWindow,0,2880,2880
access-nbody,pass: checkVariableReferences,1,2880,2880
access-nbody,pass: closureGoogScopeAliases,0,2880,2880
access-nbody,pass: closureRewriteClass,0,2880,2880
access-nbody,pass: checkSideEffects,1,2880,2880
access-nbody,pass: closurePrimitives,0,2880,2880
access-nbody,pass: suspiciousCode,0,2880,2880
access-nbody,pass: checkVars,0,2880,2880
access-nbody,pass: inferConsts,1,2880,2880
access-nbody,pass: checkRegExp,0,2880,2880
access-nbody,pass: Es6StaticInheritance,0,2880,2880
access-nbody,pass: beforeTypeChecking,0,2880,2880
access-nbody,pass: checkControlFlow,2,2880,2880
access-nbody,pass: closureReplaceGetCssName,3,2880,2880
access-nbody,pass: processDefines,1,2880,2880
access-nbody,pass: afterStandardChecks,0,2880,2880
access-nbody,pass: gatherExternProperties,1,3138,3138
access-nbody,pass: garbageCollectChecks,0,3138,3138
access-nbody,pass: beforeStandardOptimizations,0,3138,3138
access-nbody,pass: replaceIdGenerators,0,3138,3138
access-nbody,pass: optimizeArgumentsArray,10,3138,3138
access-nbody,pass: closureCodeRemoval,1,3138,3138
access-nbody,pass: collapseProperties,1,3138,3138
access-nbody,pass: inferConsts,1,3138,3138
access-nbody,pass: markPureFunctions,2,3138,3138
access-nbody,pass: checkConsts,0,3138,3138
